Unnamed: 0,Unnamed: 0.1,carat,depth,table,price,x,y,z,color,clarity,label
35511,35511,0.41,63.6,56.0,904,4.73,4.7,3.0,E,SI1,Good
29478,29478,0.4,61.4,60.0,702,4.67,4.71,2.88,G,SI1,Premium
20374,20374,0.31,62.9,56.0,625,4.3,4.32,2.71,F,VS2,Very Good
33190,33190,0.34,60.9,57.0,819,4.53,4.56,2.76,G,VVS1,Very Good
32755,32755,0.34,62.3,57.0,803,4.48,4.44,2.78,D,SI1,Ideal
47188,47188,0.59,62.8,58.0,1837,5.34,5.3,3.34,I,VVS1,Premium
38115,38115,0.3,62.9,58.0,1013,4.29,4.26,2.69,H,IF,Premium
35629,35629,0.3,62.6,58.0,473,4.22,4.28,2.66,H,VS2,Very Good
38038,38038,0.39,62.0,56.0,1010,4.72,4.64,2.9,F,VS1,Premium
12259,12259,1.26,60.1,59.0,5207,7.03,6.99,4.21,I,SI2,Premium
25477,25477,1.51,62.4,56.0,14247,7.38,7.31,4.58,F,VS2,Ideal
47631,47631,0.56,62.3,55.0,1882,5.3,5.26,3.29,H,VVS1,Ideal
49352,49352,0.51,62.4,54.0,2096,5.12,5.17,3.21,G,IF,Ideal
21153,21153,1.5,62.2,57.0,9306,7.25,7.31,4.53,J,VVS2,Very Good
51016,51016,0.71,62.1,56.0,2327,5.72,5.68,3.54,I,VS1,Ideal
8594,8594,1.01,63.9,55.0,4440,6.38,6.33,4.08,E,SI2,Good
9250,9250,0.96,60.6,62.0,4560,6.35,6.39,3.86,F,SI1,Very Good
32334,32334,0.3,62.9,58.0,789,4.26,4.29,2.69,H,IF,Very Good
6267,6267,0.9,61.9,59.0,4013,6.09,6.12,3.78,F,SI2,Good
26257,26257,2.16,61.4,59.0,15714,8.27,8.33,5.1,J,VS1,Ideal
38610,38610,0.31,62.5,60.0,488,4.36,4.31,2.71,J,VS2,Premium
23796,23796,2.06,64.1,56.0,11854,8.09,7.97,5.15,J,SI1,Good
53140,53140,0.71,62.2,56.0,2622,5.68,5.74,3.55,H,VS2,Ideal
28465,28465,0.38,61.7,58.0,672,4.66,4.73,2.89,F,SI1,Very Good
8845,8845,1.0,62.6,56.0,4480,6.37,6.29,3.96,E,SI1,Ideal
48807,48807,0.5,61.6,57.0,2025,5.13,5.09,3.15,D,VS1,Ideal
45088,45088,0.5,60.1,59.0,1646,5.14,5.17,3.1,D,VS2,Ideal
53253,53253,0.72,61.5,58.0,2646,5.73,5.69,3.51,F,VS2,Premium
45841,45841,0.5,62.1,61.0,1715,5.07,5.1,3.16,G,VVS2,Very Good
46189,46189,0.7,61.3,61.0,1749,5.67,5.62,3.46,H,SI2,Premium
50467,50467,0.61,61.5,57.0,2266,5.45,5.48,3.36,D,VS2,Very Good
47062,47062,0.52,62.6,56.0,1822,5.11,5.14,3.21,E,VS1,Very Good
4480,4480,0.75,61.7,55.0,3625,5.82,5.85,3.6,D,VS2,Ideal
1952,1952,0.7,63.9,58.0,3087,5.58,5.62,3.58,D,VS2,Good
53369,53369,0.61,61.9,56.0,2658,5.43,5.45,3.37,D,VS1,Ideal
23045,23045,1.51,60.9,54.0,11077,7.38,7.41,4.5,H,VS2,Very Good
22123,22123,1.68,61.5,59.0,10151,7.63,7.58,4.68,I,SI1,Premium
43453,43453,0.5,63.2,57.0,1415,5.06,5.03,3.19,E,SI1,Very Good
14243,14243,1.05,60.7,56.0,5770,6.54,6.6,3.99,E,SI1,Very Good
11634,11634,2.0,61.5,59.0,5051,8.11,8.06,4.97,J,I1,Premium
12704,12704,0.26,61.7,57.0,599,4.07,4.1,2.52,E,VVS1,Ideal
21351,21351,1.73,61.5,60.0,9494,7.75,7.66,4.74,F,SI2,Premium
24157,24157,1.51,60.6,60.0,12336,7.42,7.4,4.49,H,VVS1,Premium
27279,27279,2.14,58.2,61.0,17742,8.5,8.45,4.93,F,SI2,Premium
37123,37123,0.44,63.4,57.0,970,4.85,4.81,3.06,E,SI1,Very Good
13996,13996,1.19,63.3,55.0,5698,6.76,6.69,4.26,H,SI1,Very Good
9638,9638,1.09,63.2,59.0,4639,6.54,6.5,4.12,I,SI1,Very Good
25616,25616,1.51,61.7,55.0,14482,7.37,7.34,4.54,E,VS2,Ideal
20707,20707,0.31,62.1,57.0,625,4.34,4.36,2.7,F,VS2,Ideal
11416,11416,1.16,62.7,56.0,5001,6.69,6.73,4.21,E,SI2,Ideal
36377,36377,0.41,61.3,56.0,941,4.81,4.84,2.96,H,VS2,Ideal
7789,7789,0.92,61.6,62.0,4287,6.3,6.24,3.86,G,VS2,Premium
5606,5606,0.96,59.2,61.0,3871,6.42,6.36,3.78,H,SI2,Premium
8163,8163,1.03,61.6,59.0,4362,6.46,6.49,3.99,I,SI1,Premium
26833,26833,2.01,65.1,56.0,16733,7.91,7.84,5.12,H,SI1,Ideal
15056,15056,0.3,61.4,57.0,605,4.29,4.34,2.65,G,VS1,Ideal
31707,31707,0.31,59.9,59.0,770,4.44,4.41,2.65,G,VS1,Premium
48055,48055,0.73,62.0,57.0,1927,5.79,5.76,3.58,I,SI2,Premium
3960,3960,1.01,63.1,55.0,3507,6.36,6.31,4.0,G,SI2,Very Good
37942,37942,0.27,62.1,57.0,486,4.1,4.15,2.56,H,VVS2,Very Good
9651,9651,1.01,62.5,59.0,4642,6.44,6.33,3.99,H,SI1,Premium
82,82,0.26,62.9,58.0,554,4.02,4.06,2.54,E,VVS2,Ideal
49031,49031,0.51,60.4,56.0,2054,5.18,5.22,3.14,F,VVS2,Ideal
49532,49532,0.6,60.4,57.0,2125,5.53,5.49,3.33,D,VS2,Ideal
21909,21909,1.51,60.7,60.0,9979,7.43,7.49,4.53,I,VS1,Very Good
1597,1597,1.2,64.9,59.0,3011,6.61,6.54,4.27,J,I1,Fair
19289,19289,1.52,59.8,62.0,8010,7.47,7.41,4.45,I,SI2,Premium
23191,23191,2.0,60.6,62.0,11198,8.19,7.84,4.86,F,SI2,Premium
8940,8940,1.01,63.2,59.0,4497,6.38,6.35,4.02,F,SI2,Very Good
16005,16005,1.22,59.7,61.0,6403,7.03,6.9,4.16,E,SI1,Premium
24285,24285,1.75,60.6,60.0,12529,7.84,7.8,4.74,I,VS1,Premium
16107,16107,1.23,61.0,56.0,6439,6.96,6.92,4.23,H,SI1,Ideal
31595,31595,0.2,59.7,55.0,367,3.86,3.84,2.3,E,VS2,Ideal
3786,3786,1.01,63.5,59.0,3462,6.3,6.36,4.02,J,SI2,Very Good
7944,7944,1.0,61.8,58.0,4319,6.39,6.43,3.96,G,SI2,Premium
29299,29299,0.3,61.5,58.0,438,4.28,4.31,2.64,I,VS2,Ideal
35034,35034,0.3,59.5,59.0,882,4.42,4.38,2.62,F,VVS2,Premium
8262,8262,1.02,61.9,58.0,4381,6.47,6.42,3.99,G,SI1,Premium
26663,26663,2.1,60.4,59.0,16479,8.28,8.33,5.02,H,SI2,Premium
26921,26921,1.5,62.2,55.0,16948,7.33,7.35,4.57,G,VVS2,Ideal
47578,47578,0.51,62.6,55.0,1875,5.15,5.1,3.21,F,VS2,Ideal
15371,15371,0.3,62.1,55.0,605,4.26,4.31,2.66,F,VS2,Ideal
46029,46029,0.57,61.8,56.0,1728,5.35,5.3,3.29,G,VS2,Ideal
16823,16823,1.2,63.3,59.0,6710,6.74,6.78,4.28,H,VS2,Good
1958,1958,1.01,63.7,60.0,3088,6.4,6.29,4.05,J,SI2,Good
33021,33021,0.3,61.7,57.0,814,4.33,4.36,2.68,D,VVS2,Ideal
616,616,0.71,60.3,58.0,2839,5.82,5.78,3.5,G,VVS2,Premium
18651,18651,1.32,61.2,57.0,7617,7.12,7.06,4.34,I,VS1,Ideal
9001,9001,0.91,63.1,58.0,4512,6.12,6.17,3.88,E,SI1,Good
1653,1653,0.78,60.4,57.0,3019,6.02,5.97,3.62,D,SI1,Premium
27337,27337,1.7,62.3,56.0,17892,7.61,7.65,4.75,F,VS2,Ideal
25551,25551,1.86,62.6,58.0,14383,7.77,7.82,4.88,H,SI1,Very Good
10789,10789,1.0,64.8,62.0,4861,6.22,6.13,4.0,H,VS2,Fair
42438,42438,0.53,62.4,56.0,1314,5.17,5.18,3.23,H,VS2,Ideal
32929,32929,0.42,61.1,60.0,810,4.79,4.83,2.94,D,SI1,Premium
36091,36091,0.32,62.7,60.0,926,4.32,4.35,2.72,F,VVS1,Very Good
38780,38780,0.31,60.0,57.0,1046,4.41,4.39,2.64,H,IF,Ideal
26697,26697,0.31,61.6,55.6,429,4.34,4.37,2.69,G,SI2,Ideal
4059,4059,0.32,62.6,55.0,571,4.41,4.38,2.75,G,SI1,Ideal
32205,32205,0.35,61.9,58.0,788,4.52,4.49,2.79,E,SI1,Premium
6742,6742,0.33,62.2,56.0,579,4.43,4.44,2.76,G,VS2,Ideal
8931,8931,1.01,60.5,57.0,4497,6.53,6.49,3.94,F,SI2,Ideal
26997,26997,2.02,60.1,59.0,17099,8.29,8.21,4.96,G,SI2,Premium
18757,18757,1.05,59.8,59.0,7666,6.57,6.75,3.98,E,VS1,Very Good
25663,25663,2.03,62.5,57.0,14579,8.14,8.08,5.06,J,VS1,Ideal
45850,45850,0.55,61.8,55.0,1715,5.25,5.3,3.26,G,VS2,Ideal
9556,9556,1.1,62.2,58.0,4620,6.69,6.6,4.13,H,SI2,Premium
7986,7986,1.01,63.2,55.0,4326,6.32,6.4,4.02,G,SI1,Good
14733,14733,1.15,61.7,58.0,5932,6.69,6.76,4.15,D,SI1,Very Good
44119,44119,0.5,62.7,59.0,1559,5.02,5.06,3.16,E,VS2,Premium
4934,4934,0.91,64.0,58.0,3730,6.09,6.06,3.89,D,SI1,Good
14370,14370,0.3,61.3,57.0,605,4.31,4.33,2.65,H,VVS2,Ideal
52925,52925,0.71,60.3,57.0,2590,5.77,5.81,3.49,E,SI1,Ideal
11415,11415,1.5,66.0,64.0,5000,7.1,6.97,4.64,H,SI2,Fair
32907,32907,0.44,61.0,57.0,810,4.89,4.91,2.99,F,SI1,Ideal
25557,25557,1.5,59.5,58.0,14386,7.53,7.46,4.46,E,VS2,Premium
48877,48877,0.76,59.3,63.0,2036,6.12,5.93,3.55,J,VS1,Very Good
26508,26508,1.73,62.1,57.0,16131,7.73,7.64,4.77,F,VS1,Ideal
19858,19858,1.06,61.2,57.0,8415,6.52,6.56,4.0,G,IF,Very Good
48450,48450,0.55,58.5,58.4,1975,5.39,5.42,3.16,D,VS2,Very Good
26168,26168,2.14,59.5,59.0,15499,8.42,8.36,4.99,I,SI1,Premium
2108,2108,0.92,64.9,58.0,3117,6.1,6.04,3.94,F,SI1,Fair
7454,7454,0.78,60.5,55.0,4234,6.0,6.03,3.64,D,VS1,Very Good
19115,19115,1.23,61.1,57.0,7881,6.88,6.9,4.21,I,VS1,Ideal
5041,5041,0.33,61.7,55.0,573,4.44,4.47,2.75,I,VS1,Ideal
13216,13216,1.2,64.4,61.0,5458,6.52,6.59,4.22,I,SI1,Good
25368,25368,0.28,61.8,56.0,642,4.22,4.26,2.62,F,VVS2,Ideal
45747,45747,0.58,64.7,60.0,1701,5.23,5.28,3.41,G,VS1,Fair
33727,33727,0.41,61.3,54.0,839,4.75,4.87,2.95,H,VVS2,Very Good
40817,40817,0.32,61.9,56.0,1170,4.42,4.4,2.73,E,IF,Ideal
46882,46882,0.72,61.8,55.0,1814,5.79,5.76,3.57,H,SI2,Ideal
17873,17873,1.4,61.2,56.0,7213,7.23,7.18,4.41,H,SI2,Ideal
25988,25988,1.54,62.5,57.0,15197,7.36,7.3,4.58,G,VVS2,Ideal
34618,34618,0.27,62.0,57.0,470,4.11,4.15,2.56,D,VS2,Very Good
18870,18870,1.04,62.8,56.0,7738,6.49,6.45,4.06,G,VVS1,Ideal
17440,17440,1.24,60.5,60.0,6994,6.97,6.91,4.2,G,SI1,Ideal
36307,36307,0.32,62.1,54.0,936,4.42,4.4,2.74,H,VVS1,Ideal
38338,38338,0.32,59.4,59.0,1020,4.51,4.48,2.67,G,IF,Premium
35859,35859,0.4,62.4,53.0,917,4.72,4.76,2.96,F,VS1,Ideal
11172,11172,0.98,62.7,55.0,4950,6.37,6.27,3.96,F,SI1,Ideal
30065,30065,0.32,61.4,56.0,720,4.38,4.41,2.7,D,VS1,Ideal
51306,51306,0.31,59.8,60.0,544,4.4,4.43,2.64,G,VS2,Premium
27561,27561,2.6,62.5,56.0,18369,8.81,8.76,5.49,J,SI2,Ideal
3819,3819,1.11,62.5,56.0,3469,6.63,6.55,4.12,I,SI2,Premium
20145,20145,1.2,62.4,58.0,8602,6.82,6.8,4.25,G,VS1,Premium
40385,40385,0.42,62.0,55.0,1132,4.81,4.84,2.99,D,VVS2,Ideal
52685,52685,0.59,59.5,58.0,2551,5.49,5.57,3.29,G,IF,Ideal
3560,3560,1.01,59.2,58.0,3417,6.58,6.56,3.89,H,SI1,Premium
16481,16481,1.05,61.8,57.0,6586,6.53,6.48,4.02,G,VS2,Ideal
27308,27308,2.05,62.5,57.0,17811,8.09,8.07,5.05,H,SI1,Very Good
24929,24929,1.5,61.8,56.0,13377,7.38,7.31,4.54,G,VS1,Ideal
50457,50457,0.7,58.7,61.0,2264,5.77,5.81,3.4,F,SI1,Good
25536,25536,2.14,62.9,56.0,14359,8.18,8.14,5.13,G,SI2,Ideal
23034,23034,0.33,61.1,59.0,631,4.45,4.42,2.71,G,SI1,Premium
43238,43238,0.56,61.0,57.0,1399,5.3,5.34,3.24,D,SI2,Ideal
4094,4094,0.92,60.6,63.0,3534,6.34,6.25,3.81,F,SI2,Very Good
2469,2469,0.71,62.1,60.0,3192,5.65,5.71,3.53,E,VS1,Very Good
52817,52817,0.71,62.0,59.0,2573,5.69,5.76,3.55,E,SI1,Very Good
23257,23257,1.51,61.0,60.0,11263,7.34,7.29,4.46,H,VS1,Premium
1323,1323,0.82,61.8,55.0,2959,6.0,6.03,3.72,I,SI1,Ideal
24143,24143,1.7,62.3,58.1,12311,7.57,7.66,4.74,I,VS1,Very Good
52577,52577,0.71,61.6,55.0,2537,5.74,5.78,3.55,G,VS2,Ideal
44261,44261,0.5,61.6,57.0,1575,5.09,5.13,3.15,E,VS2,Ideal
26065,26065,2.11,62.0,55.0,15282,8.23,8.18,5.09,I,SI1,Ideal
10538,10538,1.01,61.0,58.0,4808,6.53,6.49,3.97,G,SI1,Premium
26469,26469,2.03,63.2,60.0,16043,7.94,7.88,5.0,J,VVS2,Very Good
23044,23044,1.52,63.5,58.0,11075,7.29,7.36,4.65,E,SI1,Good
22670,22670,2.38,60.6,59.0,10716,8.66,8.63,5.24,J,SI2,Premium
4169,4169,1.03,61.6,58.0,3553,6.5,6.42,3.98,I,VS1,Premium
32283,32283,0.26,60.7,59.0,453,4.09,4.12,2.49,E,VS1,Very Good
50945,50945,0.57,60.2,57.0,2321,5.38,5.41,3.25,F,VVS2,Ideal
31615,31615,0.27,66.4,58.0,371,3.99,4.02,2.66,E,VS1,Fair
47828,47828,0.73,58.2,59.0,1905,5.99,5.91,3.46,J,SI1,Premium
20447,20447,1.51,62.7,61.0,8794,7.33,7.27,4.58,I,SI1,Premium
48314,48314,0.25,60.6,57.0,535,4.08,4.11,2.48,E,VS2,Ideal
12750,12750,1.0,63.2,59.0,5320,6.29,6.4,4.01,D,SI1,Very Good
37191,37191,0.34,62.2,54.0,973,4.52,4.55,2.82,E,VVS1,Ideal
50628,50628,0.23,61.6,58.0,402,3.96,3.99,2.45,D,VS2,Very Good
38384,38384,0.42,62.0,55.0,1024,4.82,4.8,2.98,E,VS2,Ideal
36684,36684,0.4,62.4,54.0,951,4.73,4.75,2.96,E,VS1,Ideal
625,625,0.83,61.4,59.0,2840,6.08,6.04,3.72,F,SI2,Premium
30580,30580,0.31,59.0,57.0,734,4.44,4.48,2.63,D,VS2,Ideal
24627,24627,2.34,63.9,62.0,12961,8.4,8.34,5.35,J,VS2,Good
25452,25452,2.0,61.3,59.0,14208,8.13,8.09,4.97,I,SI2,Premium
9414,9414,1.01,63.6,57.0,4588,6.33,6.37,4.04,G,SI1,Good
50924,50924,0.7,61.9,58.0,2319,5.69,5.65,3.51,F,SI1,Premium
41973,41973,0.54,63.7,57.0,1263,5.22,5.14,3.3,D,SI1,Good
38147,38147,0.3,63.2,58.0,1013,4.25,4.23,2.68,G,VVS1,Very Good
25599,25599,2.14,61.9,56.0,14452,8.26,8.22,5.1,I,SI2,Ideal
30136,30136,0.32,62.1,60.0,720,4.39,4.34,2.71,G,VS2,Premium
33883,33883,0.3,62.4,57.0,844,4.33,4.29,2.69,E,VS2,Ideal
22884,22884,1.01,62.4,58.0,10927,6.44,6.39,4.0,D,VVS2,Premium
37839,37839,0.33,62.3,56.0,1002,4.46,4.43,2.77,D,VS2,Ideal
2765,2765,0.9,62.3,56.0,3251,6.18,6.12,3.83,I,SI1,Ideal
50198,50198,0.71,62.9,59.0,2226,5.68,5.71,3.58,I,VS1,Very Good
19379,19379,0.4,63.9,53.0,622,4.68,4.71,3.0,D,SI2,Good
33674,33674,0.32,60.8,58.0,837,4.39,4.43,2.68,F,VVS2,Ideal
1393,1393,0.32,61.0,56.0,559,4.41,4.45,2.7,E,SI1,Ideal
21392,21392,1.73,60.9,59.0,9510,7.72,7.76,4.71,J,VS2,Very Good
45775,45775,0.65,58.5,58.0,1708,5.68,5.64,3.31,E,SI1,Premium
15492,15492,1.0,61.4,60.0,6207,6.4,6.44,3.94,E,SI1,Very Good
40502,40502,0.43,60.7,57.0,1143,4.87,4.89,2.96,G,VVS1,Very Good
11609,11609,1.05,60.2,62.0,5047,6.52,6.57,3.94,H,SI1,Very Good
53590,53590,0.74,61.6,54.0,2699,5.82,5.9,3.61,E,SI1,Ideal
30143,30143,0.32,63.1,57.0,720,4.35,4.3,2.73,G,VS2,Very Good
50678,50678,1.01,64.5,56.0,2287,6.32,6.26,4.06,G,I1,Fair
23416,23416,2.01,60.6,60.0,11406,8.11,8.19,4.94,J,SI2,Very Good
30688,30688,0.4,62.8,59.0,737,4.64,4.69,2.93,E,SI1,Very Good
19486,19486,1.01,63.0,60.0,8120,6.35,6.31,3.99,G,IF,Premium
10178,10178,1.09,61.7,57.0,4733,6.57,6.62,4.07,G,SI2,Ideal
26528,26528,2.28,62.9,57.0,16187,8.41,8.34,5.27,I,SI2,Ideal
28076,28076,0.38,60.1,57.0,662,4.73,4.75,2.85,H,SI1,Very Good
50795,50795,0.71,63.3,56.0,2306,5.65,5.69,3.59,I,VS1,Good
225,225,0.72,62.7,59.0,2782,5.73,5.69,3.58,D,SI1,Premium
13035,13035,0.38,61.0,61.0,600,4.61,4.67,2.83,F,SI2,Very Good
35969,35969,0.3,61.0,58.0,477,4.29,4.36,2.64,G,SI1,Ideal
779,779,0.71,61.3,61.0,2860,5.68,5.73,3.5,F,VS2,Very Good
15936,15936,1.05,62.9,57.0,6373,6.39,6.51,4.06,D,VS2,Very Good
6931,6931,1.01,58.2,61.0,4140,6.47,6.53,3.78,F,SI2,Good
51185,51185,0.7,62.8,61.0,2348,5.61,5.57,3.51,D,SI2,Premium
24293,24293,1.62,61.5,61.0,12542,7.53,7.48,4.62,H,VS2,Ideal
20933,20933,1.01,63.3,55.0,9140,6.41,6.36,4.04,E,VVS2,Very Good
41643,41643,0.4,61.5,56.0,1238,4.79,4.74,2.93,E,VVS2,Ideal
46641,46641,0.3,62.9,57.0,526,4.25,4.3,2.69,E,SI1,Very Good
37861,37861,0.34,61.0,56.0,1003,4.54,4.57,2.78,F,VVS2,Ideal
16925,16925,1.69,62.0,56.0,6757,7.66,7.61,4.73,H,I1,Ideal
16905,16905,1.18,62.6,54.0,6750,6.74,6.78,4.23,I,VVS1,Ideal
27495,27495,1.55,62.5,55.0,18188,7.38,7.4,4.62,E,VVS2,Ideal
0,0,0.23,61.5,55.0,326,3.95,3.98,2.43,E,SI2,Ideal
11578,11578,1.2,62.4,61.0,5040,6.81,6.78,4.24,H,SI2,Premium
44344,44344,0.56,62.8,56.0,1580,5.23,5.28,3.3,H,VS1,Very Good
12385,12385,0.33,61.3,57.0,598,4.45,4.49,2.74,G,VS2,Ideal
18707,18707,0.27,62.5,59.0,620,4.09,4.14,2.57,E,VVS2,Very Good
8047,8047,0.25,62.6,56.0,582,4.01,4.05,2.52,G,VVS1,Ideal
10830,10830,0.9,60.9,54.0,4871,6.19,6.22,3.78,H,VS2,Ideal
45932,45932,0.47,61.8,53.0,1721,4.99,5.04,3.1,E,VS1,Ideal
45395,45395,0.56,61.1,59.0,1668,5.34,5.27,3.24,E,VS2,Premium
25943,25943,2.05,62.5,60.0,15109,8.14,8.09,5.07,J,VS1,Premium
44342,44342,0.5,63.2,59.0,1580,5.03,5.07,3.19,G,VS1,Very Good
31616,31616,0.31,62.0,54.1,372,4.32,4.35,2.69,I,SI2,Ideal
38534,38534,0.34,60.8,57.0,1033,4.52,4.5,2.74,D,VS2,Ideal
8212,8212,1.02,62.9,59.0,4370,6.4,6.38,4.02,G,SI2,Premium
3485,3485,0.9,62.3,58.0,3398,6.15,6.2,3.85,G,SI2,Very Good
42213,42213,0.38,61.2,57.0,1289,4.66,4.68,2.86,D,VVS2,Ideal
10753,10753,1.01,62.7,55.0,4853,6.32,6.4,3.99,F,SI2,Very Good
16535,16535,1.01,62.5,58.0,6606,6.44,6.4,4.01,E,VS2,Premium
35394,35394,0.41,62.2,58.0,899,4.71,4.74,2.94,H,VVS2,Very Good
10217,10217,1.15,61.6,60.0,4743,6.72,6.75,4.15,H,SI2,Premium
3053,3053,0.27,61.6,57.0,566,4.18,4.21,2.58,G,IF,Ideal
52920,52920,0.71,62.4,60.0,2590,5.66,5.68,3.54,E,VS2,Premium
11402,11402,1.17,61.8,54.0,4999,6.78,6.82,4.2,I,SI2,Ideal
52537,52537,0.72,62.5,55.0,2530,5.69,5.74,3.57,E,SI2,Ideal
37375,37375,0.4,60.5,59.0,982,4.76,4.8,2.89,D,VS2,Premium
9122,9122,1.13,61.0,60.0,4535,6.73,6.69,4.09,H,SI2,Ideal
46361,46361,0.57,62.1,55.0,1760,5.35,5.31,3.31,F,VS2,Ideal
6708,6708,0.24,62.5,55.0,412,3.96,3.98,2.48,E,VS1,Very Good
50730,50730,0.72,62.6,52.0,2295,5.74,5.77,3.6,G,SI2,Ideal
53787,53787,0.9,63.2,60.0,2729,6.09,6.12,3.86,J,SI1,Good
21536,21536,1.51,61.8,63.0,9640,7.34,7.28,4.52,I,VS1,Very Good
32879,32879,0.36,61.6,59.0,810,4.57,4.52,2.8,H,VS1,Premium
17204,17204,1.31,61.7,55.0,6873,7.0,7.1,4.35,I,VS2,Ideal
47964,47964,0.52,61.8,57.0,1919,5.2,5.16,3.2,D,VS2,Ideal
8035,8035,0.9,62.9,58.0,4334,6.15,6.12,3.86,E,VS2,Premium
963,963,0.71,62.7,56.0,2891,5.71,5.75,3.59,E,VS2,Ideal
9064,9064,1.0,63.0,58.0,4516,6.35,6.26,3.97,E,SI2,Fair
25046,25046,0.3,62.9,57.0,641,4.27,4.25,2.68,F,SI1,Ideal
29782,29782,0.3,61.4,56.0,709,4.35,4.32,2.66,D,SI1,Ideal
28577,28577,0.3,63.0,59.0,675,4.27,4.21,2.67,H,VS1,Premium
48139,48139,0.55,61.6,55.0,1940,5.33,5.28,3.27,E,VS1,Ideal
45903,45903,0.52,62.4,57.0,1720,5.18,5.14,3.22,D,SI1,Ideal
24407,24407,1.52,62.8,56.0,12648,7.3,7.32,4.59,H,VVS2,Very Good
37312,37312,0.31,60.9,56.0,979,4.39,4.41,2.68,E,VVS2,Ideal
45754,45754,0.61,61.2,62.0,1704,5.48,5.44,3.34,E,VS2,Premium
